postcode,latitude,longitude
"0800",-12.461860015472247,130.84373723093344
"0810",-12.369772248700256,130.87665186285423
"0812",-12.377661790946108,130.91450175757024
"0820",-12.423396342594923,130.8649753316065
"0822",-13.020916476198972,132.88371988734673
"0828",-12.42825506875835,130.93958540410426
"0829",-12.449220085052334,131.0018472583242
"0830",-12.387077983404637,131.0404063289677
"0832",-12.51269187638961,130.996825484889
"0834",-12.546843444693874,131.02350891564046
"0835",-12.471559940634421,131.0619499998307
"0836",-12.560294216474503,131.13103437358126
"0837",-12.754515118478952,131.15033654847983
"0838",-12.718825403946786,131.00697286339465
"0839",-12.51998139570691,131.04017599034702
"0840",-12.732856233803453,130.44341014412774
"0841",-12.819286834375218,130.96975200882005
"0845",-13.089705841893716,131.05737421714628
"0846",-13.167853126298672,131.1557956285378
"0847",-13.82356056001177,131.8262008900948
"0850",-14.440668780507803,132.27106565493324
"0852",-16.828574098647557,132.80954783541284
"0853",-14.531214072136375,132.37927845295647
"0854",-16.07032859062262,136.30866687076556
"0860",-19.654786337625282,134.1870774173716
"0862",-18.07520420071146,135.83570540591896
"0870",-23.71559665024796,133.83031366719115
"0872",-23.670606478679396,131.25830775175572
"0873",-23.77577547077453,133.8551140324578
"0874",-23.671655589381235,133.8886934640942
"0875",-23.696875033977594,133.8333394704589
"0880",-12.246116763360021,136.64584246933453
"0885",-13.850807498967377,136.4200852738421
"0886",-12.669358300709446,132.8370101900651
"2000",-33.8683837718929,151.2082196508253
"2007",-33.880239612534204,151.1979580040222
"2008",-33.88829983442237,151.19669280723068
"2009",-33.869006474449826,151.1935244655474
"2010",-33.88256662588403,151.2149241933482
"2011",-33.86995013926866,151.22451477803108
"2015",-33.90811844295024,151.19304694515992
"2016",-33.893087743031685,151.20659412815482
"2017",-33.9030183370794,151.20778674919964
"2018",-33.924917683119695,151.20868703608596
"2019",-33.95343206638034,151.20750355805953
"2020",-33.94014618888482,151.18198535389126
"2021",-33.893013191864625,151.2282168365181
"2022",-33.89585891169138,151.24924554054581
"2023",-33.88084484889327,151.25562917619988
"2024",-33.9032971338658,151.2614345265732
"2025",-33.886988785668024,151.2438718849574
"2026",-33.88963406695197,151.2724790265895
"2027",-33.87244784028099,151.2410815257321
"2028",-33.8778102051919,151.24380935380032
"2029",-33.873915432447305,151.26892698440804
"2030",-33.85739000935814,151.27843546704878
"2031",-33.91498888021844,151.24389556935253
"2032",-33.92593356120337,151.22842641105845
"2033",-33.91341196468919,151.22075694305192
"2034",-33.92447538749719,151.25451808820105
"2035",-33.942384638897664,151.23698925548575
"2036",-33.970883999238424,151.23896220658133
"2037",-33.878766669169046,151.18528241486035
"2038",-33.88082055809308,151.17137441295534
"2039",-33.865069066730904,151.17334504620874
"2040",-33.87722582700607,151.15759301879152
"2041",-33.85641034916336,151.18237361108427
"2042",-33.89892644472264,151.17749961153066
"2043",-33.90255871634974,151.18575949246735
"2044",-33.92033505651664,151.16939089120174
"2045",-33.87791610687544,151.14000890960074
"2046",-33.860879376811035,151.13213607501595
"2047",-33.85256507699301,151.15298375223318
"2048",-33.89300720388516,151.1659861146866
"2049",-33.89477661349126,151.15225248343592
"2050",-33.88846182827309,151.18182060494652
