POSTCODE,SUBURBS_JOINED,STATE
1340,(Suburb data unavailable),(Unknown)
1355,(Suburb data unavailable),(Unknown)
1470,(Suburb data unavailable),(Unknown)
1475,(Suburb data unavailable),(Unknown)
1490,(Suburb data unavailable),(Unknown)
1495,(Suburb data unavailable),(Unknown)
1595,(Suburb data unavailable),(Unknown)
1670,(Suburb data unavailable),(Unknown)
1730,(Suburb data unavailable),(Unknown)
1755,(Suburb data unavailable),(Unknown)
1871,(Suburb data unavailable),(Unknown)
1875,(Suburb data unavailable),(Unknown)
2000,"Barangaroo, Dawes Point, Haymarket, Millers Point, Parliament House, Sydney, Sydney South, The Rocks",NSW
2006,The University Of Sydney,NSW
2007,"Broadway, Ultimo",NSW
2008,"Chippendale, Darlington",NSW
2009,Pyrmont,NSW
2010,"Darlinghurst, Surry Hills",NSW
2011,"Elizabeth Bay, Kings Cross, Potts Point, Rushcutters Bay, Woolloomooloo",NSW
2015,"Alexandria, Beaconsfield, Eveleigh",NSW
2016,Redfern,NSW
2017,"Waterloo, Zetland",NSW
2018,"Eastlakes, Rosebery",NSW
2019,"Banksmeadow, Botany",NSW
2020,"Mascot, Sydney Domestic Airport, Sydney International Airport",NSW
2021,"Centennial Park, Moore Park, Paddington",NSW
2022,"Bondi Junction, Queens Park",NSW
2023,Bellevue Hill,NSW
2024,"Bronte, Waverley",NSW
2025,Woollahra,NSW
2026,"Ben Buckler, Bondi, Bondi Beach, North Bondi, Tamarama",NSW
2027,"Darling Point, Edgecliff, Hmas Rushcutters, Point Piper",NSW
2028,Double Bay,NSW
2029,Rose Bay,NSW
2030,"Dover Heights, Hmas Watson, Rose Bay North, Vaucluse, Watsons Bay",NSW
2031,"Clovelly, Clovelly West, Randwick, St Pauls",NSW
2032,"Daceyville, Kingsford",NSW
2033,Kensington,NSW
2034,"Coogee, South Coogee",NSW
2035,"Maroubra, Maroubra South, Pagewood",NSW
2036,"Chifley, Eastgardens, Hillsdale, La Perouse, Little Bay, Malabar, Matraville, Phillip Bay, Port Botany",NSW
2037,"Forest Lodge, Glebe",NSW
2038,Annandale,NSW
2039,Rozelle,NSW
2040,"Leichhardt, Lilyfield",NSW
2041,"Balmain, Balmain East, Birchgrove",NSW
2042,"Enmore, Newtown",NSW
2043,Erskineville,NSW
2044,"St Peters, Sydenham, Tempe",NSW
2045,Haberfield,NSW
2046,"Abbotsford, Canada Bay, Chiswick, Five Dock, Rodd Point, Russell Lea, Wareemba",NSW
2047,Drummoyne,NSW
2048,"Stanmore, Westgate",NSW
2049,"Lewisham, Petersham, Petersham North",NSW
2050,"Camperdown, Missenden Road",NSW
2052,Unsw Sydney,NSW
2055,North Sydney,NSW
2057,Chatswood,NSW
2059,North Sydney,NSW
2060,"Hmas Platypus, Hmas Waterhen, Lavender Bay, Mcmahons Point, North Sydney, North Sydney Shoppingworld, Waverton",NSW
2061,"Kirribilli, Milsons Point",NSW
2062,Cammeray,NSW
2063,Northbridge,NSW
2064,Artarmon,NSW
2065,"Crows Nest, Gore Hill, Greenwich, Naremburn, Royal North Shore Hospital, St Leonards, Wollstonecraft",NSW
2066,"Lane Cove, Lane Cove North, Lane Cove West, Linley Point, Longueville, Northwood, Riverview",NSW
2067,"Chatswood, Chatswood West",NSW
2068,"Castlecrag, Middle Cove, North Willoughby, Willoughby, Willoughby East, Willoughby North",NSW
2069,"Castle Cove, Roseville, Roseville Chase",NSW
2070,"East Lindfield, Lindfield, Lindfield West",NSW
2071,"East Killara, Killara",NSW
2072,Gordon,NSW
2073,"Pymble, West Pymble",NSW
2074,"North Turramurra, South Turramurra, Turramurra, Warrawee",NSW
2075,"St Ives, St Ives Chase",NSW
2076,"Normanhurst, North Wahroonga, Wahroonga",NSW
2077,"Asquith, Hornsby, Hornsby Heights, Waitara",NSW
2079,Mount Colah,NSW
2080,Mount Kuring-Gai,NSW
2081,"Berowra, Cowan",NSW
2082,"Berowra Creek, Berowra Heights, Berowra Waters",NSW
2083,"Bar Point, Brooklyn, Cheero Point, Cogra Bay, Dangar Island, Milsons Passage, Mooney Mooney",NSW
2084,"Cottage Point, Duffys Forest, Terrey Hills",NSW
2085,"Belrose, Belrose West, Davidson",NSW
2086,"Frenchs Forest, Frenchs Forest East",NSW
2087,"Forestville, Killarney Heights",NSW
2088,"Mosman, Spit Junction",NSW
2089,"Kurraba Point, Neutral Bay, Neutral Bay Junction",NSW
2090,"Cremorne, Cremorne Junction, Cremorne Point",NSW
2092,Seaforth,NSW
2093,"Balgowlah, Balgowlah Heights, Clontarf, Manly Vale, North Balgowlah",NSW
2094,Fairlight,NSW
2095,"Manly, Manly East",NSW
2096,"Curl Curl, Freshwater, Harbord, Queenscliff",NSW
2097,"Collaroy, Collaroy Beach, Collaroy Plateau, Wheeler Heights",NSW
2099,"Cromer, Dee Why, Narraweena, North Curl Curl, Wingala",NSW
2100,"Allambie, Allambie Heights, Beacon Hill, Brookvale, North Manly, Oxford Falls, Warringah Mall",NSW
2101,"Elanora Heights, Ingleside, Narrabeen, North Narrabeen",NSW
2102,"Warriewood, Warriewood Shopping Square",NSW
2103,Mona Vale,NSW
2104,Bayview,NSW
2105,"Church Point, Elvina Bay, Lovett Bay, Mccarrs Creek, Morning Bay, Scotland Island",NSW
2106,"Newport, Newport Beach",NSW
2107,"Avalon Beach, Bilgola, Bilgola Beach, Bilgola Plateau, Careel Bay, Clareville, Whale Beach",NSW
2108,"Coasters Retreat, Currawong Beach, Great Mackerel Beach, Palm Beach, The Basin",NSW
2109,Macquarie University,NSW
2110,"Hunters Hill, Woolwich",NSW
2111,"Boronia Park, Gladesville, Henley, Huntleys Cove, Huntleys Point, Monash Park, Tennyson Point",NSW
2112,"Denistone East, Putney, Ryde",NSW
2113,"Blenheim Road, East Ryde, Macquarie Centre, Macquarie Park, North Ryde",NSW
2114,"Denistone, Denistone West, Meadowbank, Melrose Park, West Ryde",NSW
2115,Ermington,NSW
2116,Rydalmere,NSW
2117,"Dundas, Dundas Valley, Oatlands, Telopea",NSW
2118,"Carlingford, Carlingford Court, Carlingford North, Kingsdene",NSW
2119,"Beecroft, Cheltenham",NSW
2120,"Pennant Hills, Thornleigh, Westleigh",NSW
2121,"Epping, North Epping",NSW
2122,"Eastwood, Marsfield",NSW
2123,Parramatta,NSW
2124,Parramatta,NSW
2125,West Pennant Hills,NSW
2126,Cherrybrook,NSW
2127,"Homebush Bay, Newington, Sydney Olympic Park, Wentworth Point",NSW
2128,Silverwater,NSW
2129,Sydney Markets,NSW
2130,Summer Hill,NSW
2131,Ashfield,NSW
2132,Croydon,NSW
2133,"Croydon Park, Enfield South",NSW
2134,"Burwood, Burwood North",NSW
2135,Strathfield,NSW
2136,"Burwood Heights, Enfield, Strathfield South",NSW
2137,"Breakfast Point, Cabarita, Concord, Mortlake, North Strathfield",NSW
2138,"Concord West, Liberty Grove, Rhodes",NSW
2139,Concord Repatriation Hospital,NSW
2140,"Homebush, Homebush South, Homebush West",NSW
2141,"Berala, Lidcombe, Lidcombe North, Rookwood",NSW
2142,"Blaxcell, Camellia, Clyde, Granville, Holroyd, Rosehill, South Granville",NSW
2143,"Birrong, Potts Hill, Regents Park",NSW
2144,Auburn,NSW
2145,"Constitution Hill, Girraween, Greystanes, Mays Hill, Pemulwuy, Pendle Hill, South Wentworthville, Wentworthville, Westmead",NSW
2146,"Old Toongabbie, Toongabbie, Toongabbie East",NSW
2147,"Kings Langley, Lalor Park, Seven Hills, Seven Hills West",NSW
2148,"Arndell Park, Blacktown, Blacktown Westpoint, Huntingwood, Kings Park, Marayong, Prospect",NSW
2150,"Harris Park, Parramatta, Parramatta Westfield",NSW
2151,"North Parramatta, North Rocks",NSW
2152,Northmead,NSW
2153,"Baulkham Hills, Bella Vista, Winston Hills",NSW
2154,Castle Hill,NSW
2155,"Beaumont Hills, Kellyville, Kellyville Ridge, Rouse Hill",NSW
2156,"Annangrove, Glenhaven, Kenthurst",NSW
2157,"Canoelands, Forest Glen, Glenorie",NSW
